Open,Close,High,Low,Volume,Date
79.07,78.95,79.89,78.41,,05/02/24
81.51,79,81.58,78.82,,05/01/24
82.75,81.93,83.3,80.95,,04/30/24
83.66,82.63,83.91,82.4,,04/29/24
83.8,83.85,84.46,83.35,,04/26/24
82.81,83.57,83.82,82,,04/25/24
83.39,82.81,83.7,82.42,,04/24/24
82.08,83.36,83.45,80.88,,04/23/24
81.75,81.9,82.29,80.71,,04/22/24
83.15,83.14,86.29,81.3,,04/19/24
82.93,82.73,83.45,81.58,,04/18/24
85.34,82.69,85.5,82.55,,04/17/24
85.65,85.36,86.18,84.74,,04/16/24
85.97,85.41,86.19,84.06,,04/15/24
85.67,85.66,87.7,85.26,,04/12/24
86.4,85.02,86.65,84.84,,04/11/24
85.34,86.21,86.38,84.54,,04/10/24
86.57,85.23,86.97,85.08,,04/09/24
86.52,86.43,87.11,84.68,,04/08/24
86.86,86.91,87.63,86.32,,04/05/24
85.64,86.59,87.21,84.64,,04/04/24
85.43,85.43,86.2,84.85,,04/03/24
84,85.15,85.5,83.86,,04/02/24
83.15,83.71,84.5,82.61,,04/01/24
81.74,83.17,83.21,81.5,,03/28/24
81.27,81.35,81.73,80.55,,03/27/24
82.01,81.62,82.36,81.2,,03/26/24
80.87,81.95,82.47,80.6,,03/25/24
80.77,80.63,81.46,80.41,,03/22/24
81.43,81.07,81.91,80.3,,03/21/24
0,81.27,82.65,80.83,,03/20/24
82.73,83.47,83.87,82.38,,03/19/24
81.03,82.72,83.09,80.99,,03/18/24
81.03,81.04,81.44,80.49,,03/15/24
79.54,81.26,81.62,79.54,,03/14/24
77.95,79.72,79.91,77.58,,03/13/24
78.08,77.56,78.71,77.35,,03/12/24
0,77.93,78.47,76.79,,03/11/24
79.47,78.01,79.98,77.56,,03/08/24
79.13,78.93,79.53,78.02,,03/07/24
78.15,79.13,80.68,78,,03/06/24
78.74,78.15,79.5,77.52,,03/05/24
80.14,78.74,80.43,78.55,,03/04/24
78.32,79.97,80.85,78.05,,03/01/24
78.29,78.26,79.27,77.93,,02/29/24
78.5,78.54,79.62,77.78,,02/28/24
77.66,78.87,78.98,77.17,,02/27/24
76.41,77.58,78.02,75.85,,02/26/24
78.34,76.49,78.47,76.35,,02/23/24
78.24,78.61,78.93,77.23,,02/22/24
77.22,77.91,78.08,76.32,,02/21/24
78.27,77.04,78.58,76.77,,02/20/24
78.17,79.19,79.46,77.21,,02/16/24
76.6,78.03,78.44,75.78,,02/15/24
77.73,76.64,78.77,76.39,,02/14/24
76.99,77.87,78.47,76.87,,02/13/24
76.57,76.92,77.09,75.54,,02/12/24
76.46,76.84,77.29,75.93,,02/09/24
74.08,74.04,74.11,73.95,,02/08/24
73.48,73.86,74.22,73.23,,02/07/24
72.77,73.31,73.82,72.38,,02/06/24
72.74,72.78,73.29,71.41,,02/05/24
73.92,72.28,74.51,71.8,,02/02/24
75.93,73.82,76.95,73.72,,02/01/24
77.85,75.85,78.1,75.51,,01/31/24
77.07,77.82,78.15,75.84,,01/30/24
78.88,76.78,79.29,76.42,,01/29/24
77.1,78.01,78.28,76.07,,01/26/24
75.36,77.36,77.5,75.16,,01/25/24
74.5,75.09,75.84,73.95,,01/24/24
74.66,74.37,75.25,73.41,,01/23/24
73.58,74.76,75.45,72.57,,01/22/24
73.8,73.41,74.91,73.21,,01/19/24
72.83,74.08,74.36,72.18,,01/18/24
72,72.56,72.94,70.51,,01/17/24
72.67,72.4,73.56,71.23,,01/16/24
72.98,72.68,75.25,72.36,,01/12/24
71.46,72.02,73.8,71.17,,01/11/24
72.24,71.37,73.58,71.01,,01/10/24
70.87,72.24,72.92,70.48,,01/09/24
73.74,70.77,73.95,70.13,,01/08/24
72.38,73.81,74.24,72.21,,01/05/24
73.1,72.19,73.99,71.06,,01/04/24
70.53,72.7,73.26,69.29,,01/03/24
71.7,70.38,73.64,70.06,,01/02/24
72.13,71.65,72.63,71.25,,12/29/23
73.83,71.77,74.41,71.72,,12/28/23
75.45,74.11,75.66,73.77,,12/27/23
73.58,75.57,76.19,73.13,,12/26/23
73.88,73.56,74.98,73.39,,12/22/23
73.8,73.89,74.59,72.47,,12/21/23
74.2,74.22,75.37,73.61,,12/20/23
0,73.94,74.47,72.13,,12/19/23
71.77,72.47,74.25,70.59,,12/18/23
71.48,71.43,72.87,70.31,,12/15/23
69.76,71.58,72.44,69.54,,12/14/23
68.75,69.47,69.88,67.71,,12/13/23
71.39,68.61,71.95,68.2,,12/12/23
71.23,71.32,71.82,70.35,,12/11/23
69.71,71.23,71.61,69.5,,12/08/23
69.4,69.34,70.48,68.79,,12/07/23
72.07,69.38,72.6,69.1,,12/06/23
73.25,72.32,74.13,72,,12/05/23
74.55,73.04,75.03,72.63,,12/04/23
75.61,74.07,76.76,73.94,,12/01/23
77.76,75.96,79.6,75.03,,11/30/23
76.55,77.86,78.1,75.67,,11/29/23
75.03,76.41,77.01,74.64,,11/28/23
75.23,74.86,76.23,74.05,,11/27/23
76.8,75.54,77.09,75.07,,11/24/23
77.81,77.1,77.97,73.8,,11/22/23
77.61,77.77,77.92,76.92,,11/21/23
75.96,77.83,78.47,75.42,,11/20/23
72.86,75.89,75.96,72.77,,11/17/23
76.55,72.9,76.63,72.12,,11/16/23
78.2,76.66,78.77,76.31,,11/15/23
78.46,78.26,79.77,77.8,,11/14/23
77.28,78.26,78.64,76.22,,11/13/23
75.59,77.17,77.73,75.32,,11/10/23
75.58,75.74,77.17,75.21,,11/09/23
77.13,75.33,77.53,74.93,,11/08/23
80.92,77.37,81.15,77.08,,11/07/23
81.03,80.82,82.26,80.66,,11/06/23
82.48,80.51,83.6,80.09,,11/03/23
80.92,82.46,82.83,80.25,,11/02/23
81.43,80.44,83.42,80.31,,11/01/23
82.59,81.02,83.38,80.74,,10/31/23
85.07,82.31,85.28,81.82,,10/30/23
83.51,85.54,85.9,83.09,,10/27/23
85.29,83.21,85.65,82.57,,10/26/23
83.71,85.39,85.57,82.1,,10/25/23
86.16,83.74,86.29,82.92,,10/24/23
88,85.49,88.3,85.35,,10/23/23
0,88.08,89.85,87.53,,10/20/23
87.6,89.37,89.4,86.59,,10/19/23
87.79,88.32,89.87,87.19,,10/18/23
86.97,86.66,87.75,85.59,,10/17/23
87.72,86.66,88.34,86.32,,10/16/23
83.51,87.69,87.83,83.23,,10/13/23
83.33,82.91,85.2,82.31,,10/12/23
85.97,83.49,86.51,83.11,,10/11/23
86.48,85.97,86.74,85.11,,10/10/23
84.74,86.38,87.23,84.68,,10/09/23
82.42,82.79,83.27,81.5,,10/06/23
84.45,82.31,84.91,82.15,,10/05/23
89.44,84.22,89.59,84.16,,10/04/23
88.68,89.23,90.27,87.76,,10/03/23
90.81,88.82,91.87,88.45,,10/02/23
91.74,90.79,93.1,90.36,,09/29/23
93.72,91.71,95.03,91.39,,09/28/23
90.53,93.68,94.17,90.41,,09/27/23
89.87,90.39,90.73,88.2,,09/26/23
90.55,89.68,90.83,89.03,,09/25/23
89.6,90.03,91.33,89.32,,09/22/23
89.23,89.63,90.98,88.37,,09/21/23
0,89.66,91.07,88.96,,09/20/23
92.18,91.2,93.74,91.13,,09/19/23
91.18,91.48,92.42,90.76,,09/18/23
90.69,90.77,91.24,89.22,,09/15/23
88.8,90.16,90.78,88.69,,09/14/23
88.8,88.52,89.64,88.27,,09/13/23
87.32,88.84,89.37,87.2,,09/12/23
87.41,87.29,88.16,86.72,,09/11/23
86.76,87.51,87.95,86.16,,09/08/23
87.59,86.87,87.74,86.39,,09/07/23
86.73,87.54,88.1,85.94,,09/06/23
85.97,86.69,88.07,85.01,,09/05/23
83.51,85.55,86.09,83.44,,09/01/23
81.71,83.63,83.69,81.48,,08/31/23
81.28,81.63,82.05,80.88,,08/30/23
79.99,81.16,81.41,79.35,,08/29/23
80.06,80.1,80.87,79.61,,08/28/23
78.88,79.83,80.45,78.15,,08/25/23
78.6,79.05,79.28,77.6,,08/24/23
79.61,78.89,79.9,77.62,,08/23/23
0,79.64,80.38,79.47,,08/22/23
81.44,80.72,82.62,80.62,,08/21/23
80.01,81.25,81.61,79.6,,08/18/23
79.3,80.39,81.08,78.95,,08/17/23
81.15,79.38,81.42,79.05,,08/16/23
82.5,80.99,82.91,80.41,,08/15/23
83.05,82.51,83.19,81.77,,08/14/23
82.77,83.19,83.81,82.22,,08/11/23
84.23,82.82,84.89,82.59,,08/10/23
82.86,84.4,84.65,82.68,,08/09/23
82.51,82.92,83.08,79.91,,08/08/23
82.81,81.94,83.32,81.53,,08/07/23
81.73,82.82,83.23,81.52,,08/04/23
79.7,81.55,81.87,78.69,,08/03/23
82.16,79.49,82.43,79.05,,08/02/23
81.73,81.37,82.24,80.6,,08/01/23
80.7,81.8,81.99,80.14,,07/31/23
79.92,80.58,80.72,79.06,,07/28/23
78.9,80.09,80.6,78.84,,07/27/23
79.3,78.78,79.77,78.54,,07/26/23
78.91,79.63,79.9,78.29,,07/25/23
76.97,78.74,79.28,76.44,,07/24/23
75.75,77.07,77.29,75.68,,07/21/23
0,75.65,76.15,74.5,,07/20/23
75.71,75.35,77.02,75.08,,07/19/23
74.17,75.75,75.98,73.88,,07/18/23
75.03,74.15,76.08,73.85,,07/17/23
77.18,75.42,77.29,75.12,,07/14/23
75.79,76.89,77.33,75.33,,07/13/23
74.82,75.75,76.16,74.67,,07/12/23
73.13,74.83,74.96,72.98,,07/11/23
73.86,72.99,74.16,72.68,,07/10/23
71.85,73.86,73.92,71.19,,07/07/23
71.82,71.8,72.34,70.22,,07/06/23
70.05,71.79,72.17,69.9,,07/05/23
70.47,69.79,71.77,69.69,,07/03/23
69.79,70.64,71.04,69.54,,06/30/23
69.21,69.86,70.6,68.93,,06/29/23
68.03,69.56,69.73,67.05,,06/28/23
69.5,67.7,70.14,67.48,,06/27/23
0,69.37,0,0,,06/26/23
69.5,69.16,69.64,67.35,,06/23/23
72.37,69.51,72.65,68.92,,06/22/23
70.85,72.53,72.71,70.8,,06/21/23
71.91,71.19,72.38,69.78,,06/20/23
70.63,71.93,71.84,69.94,,06/16/23
68.63,70.62,70.96,67.98,,06/15/23
69.29,68.27,70.49,68.07,,06/14/23
67.41,69.42,69.83,67.16,,06/13/23
70.29,67.12,70.4,66.8,,06/12/23
70.94,70.17,71.78,70.1,,06/09/23
72.49,71.29,73.28,69.02,,06/08/23
71.53,72.53,73.2,71.01,,06/07/23
71.94,71.74,72.32,70.13,,06/06/23
74.17,72.15,75.32,71.72,,06/05/23
70.31,71.74,72.17,70,,06/02/23
67.5,70.1,71.07,67.5,,06/01/23
69.59,68.09,69.69,67.02,,05/31/23
73.24,69.46,73.55,69.02,,05/30/23
71.83,72.67,73.05,71,,05/26/23
74.21,71.83,74.36,70.98,,05/25/23
73.76,74.34,74.73,73.14,,05/24/23
72.08,72.91,73.79,71.72,,05/23/23
71.86,72.05,72.53,70.68,,05/22/23
71.85,71.69,73.4,70.98,,05/19/23
72.68,71.86,72.88,71.43,,05/18/23
70.48,72.83,73.25,70.05,,05/17/23
71.34,70.86,71.78,70.45,,05/16/23
70.09,71.11,71.7,69.41,,05/15/23
71.42,70.04,71.77,69.94,,05/12/23
72.38,70.87,73.49,70.63,,05/11/23
73.54,72.56,73.89,71.81,,05/10/23
72.77,73.71,73.77,71.34,,05/09/23
71.32,73.16,73.69,71.03,,05/08/23
68.61,71.34,71.8,68.49,,05/05/23
68.21,68.56,69.83,62.4,,05/04/23
71.55,68.6,71.79,67.95,,05/03/23
75.74,71.66,76.11,71.42,,05/02/23
76.68,75.66,76.71,74.54,,05/01/23
74.83,76.78,76.92,73.93,,04/28/23
74.38,74.76,75.28,74.03,,04/27/23
77.13,74.3,77.92,74.06,,04/26/23
78.52,77.07,79.07,76.52,,04/25/23
77.99,78.76,79.19,76.71,,04/24/23
77.24,77.87,78.38,76.73,,04/21/23
0,77.37,0,76.97,,04/20/23
80.93,79.16,81.4,78.45,,04/19/23
81.04,80.86,81.49,79.88,,04/18/23
82.45,80.83,82.71,80.46,,04/17/23
82.32,82.52,83.12,81.77,,04/14/23
83.25,82.16,83.44,82.11,,04/13/23
81.47,83.26,83.53,81.28,,04/12/23
79.88,81.53,81.59,79.38,,04/11/23
80.51,79.74,81.21,79.59,,04/10/23
0,80.7,0,0,,04/07/23
80.35,80.7,80.96,79.65,,04/06/23
81,80.61,81.23,79.73,,04/05/23
80.63,80.71,81.8,79.62,,04/04/23
79.14,80.42,81.79,79,,04/03/23
74.37,75.67,75.8,73.76,,03/31/23
72.88,74.37,74.62,72.6,,03/30/23
73.58,72.97,74.37,72.77,,03/29/23
72.87,73.2,73.93,72.2,,03/28/23
69.4,72.81,73.09,69.11,,03/27/23
69.5,69.26,70.38,66.82,,03/24/23
69.92,69.96,71.67,69.14,,03/23/23
69.51,70.9,71.3,68.9,,03/22/23
0,69.67,69.76,66.88,,03/21/23
66.66,67.64,67.68,64.09,,03/20/23
68.24,66.74,69.64,65.21,,03/17/23
68.37,68.35,69.37,65.72,,03/16/23
71.52,67.61,72.56,65.65,,03/15/23
74.73,71.33,74.77,70.78,,03/14/23
76.68,76.46,77.47,76.15,,03/13/23
75.67,76.68,77.13,74.76,,03/10/23
76.58,75.72,78.05,75.43,,03/09/23
77.33,76.66,77.73,76.11,,03/08/23
80.48,77.58,80.94,77.06,,03/07/23
79.88,80.46,80.64,78.32,,03/06/23
78.01,79.68,79.91,75.84,,03/03/23
77.76,78.16,78.59,77.23,,03/02/23
76.91,77.69,77.84,76.13,,03/01/23
75.75,77.05,77.83,75.55,,02/28/23
76.42,75.68,76.82,74.99,,02/27/23
75.63,76.32,76.62,74.1,,02/24/23
73.94,75.39,75.99,73.84,,02/23/23
76.18,73.95,76.55,73.8,,02/22/23
76.56,76.36,77.74,75.91,,02/21/23
78.02,76.55,78.27,75.05,,02/17/23
78.59,78.49,79.53,77.93,,02/16/23
78.85,78.59,79.15,77.26,,02/15/23
79.13,79.06,79.61,77.47,,02/14/23
79.87,80.14,80.61,78.45,,02/13/23
77.66,79.72,80.34,77.47,,02/10/23
78.47,78.06,78.84,76.52,,02/09/23
77.53,78.47,78.58,77.09,,02/08/23
74.5,77.14,77.6,74.34,,02/07/23
73.24,74.11,74.52,72.26,,02/06/23
75.87,73.39,78,73.1,,02/03/23
76.71,75.88,77.24,74.95,,02/02/23
79.04,76.41,79.73,76.05,,02/01/23
77.87,78.87,79.26,76.53,,01/31/23
79.74,77.9,80.48,77.66,,01/30/23
81.15,79.68,82.48,79.05,,01/27/23
80.46,81.01,82.13,79.93,,01/26/23
80.26,80.15,81.23,79.45,,01/25/23
81.56,80.13,82.23,79.66,,01/24/23
81.74,81.62,82.75,81.05,,01/23/23
0,81.64,81.9,79.91,,01/20/23
78.9,80.33,81.21,78.11,,01/19/23
80.86,79.48,82.38,78.89,,01/18/23
80.05,80.18,81.22,78.54,,01/17/23
78.29,79.86,80.12,77.98,,01/13/23
77.65,78.39,79.17,77.1,,01/12/23
74.84,77.41,77.83,74.29,,01/11/23
74.88,75.12,75.94,73.84,,01/10/23
73.59,74.63,76.73,73.51,,01/09/23
73.96,73.77,75.47,73.25,,01/06/23
73.11,73.67,74.93,72.45,,01/05/23
77.12,72.84,77.41,72.74,,01/04/23
80.47,76.93,81.5,76.62,,01/03/23
78.72,80.26,80.71,77.72,,12/30/22
78.9,78.4,78.92,76.8,,12/29/22
79.88,78.96,79.95,77.3,,12/28/22
79.88,79.53,81.18,79.15,,12/27/22
78.24,79.56,80.33,77.98,,12/23/22
78.43,77.49,79.89,77.03,,12/22/22
76.02,78.29,78.63,75.79,,12/21/22
0,76.23,76.92,74.46,,12/20/22
74.41,75.19,76.44,73.8,,12/19/22
76.5,74.29,76.57,73.32,,12/16/22
77.35,76.11,77.77,75.34,,12/15/22
75.41,77.28,77.74,74.91,,12/14/22
73.34,75.39,76.36,73.22,,12/13/22
71.75,73.17,73.98,70.25,,12/12/22
71.85,71.02,72.91,70.09,,12/09/22
72.27,71.46,75.43,71.1,,12/08/22
74.34,72.01,75.37,71.76,,12/07/22
77.19,74.25,77.87,73.41,,12/06/22
80.05,76.93,82.72,76.75,,12/05/22
81.23,79.98,82.21,79.64,,12/02/22
80.51,81.22,83.34,79.94,,12/01/22
